Specimen name,participant name,PN validate,experiment,level,path
HT206B1-S1Fc1U1Z1B1,HT206B1,HT206B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-U1_ST_Bn1/
HT206B1-S1Fc1U2Z1B1,HT206B1,HT206B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U2Z1B1/
HT206B1-S1Fc1U3Z1B1,HT206B1,HT206B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U3Z1B1/
HT206B1-S1Fc1U4Z1B1,HT206B1,HT206B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U4Z1B1/
HT206B1-S1Fc1U5Z1B1,HT206B1,HT206B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U5Z1B1/
HT297B1-S1H1Fc2U1Z1Bs1,HT297B1,HT297B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT297B1/H1/HT297B1-S1H1Fc2U1Z1Bs1/
HT308B1-S1H1Fc2U1Z1Bs1,HT308B1,HT308B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT308B1/H1/HT308B1-S1H1Fc2U1Z1Bs1/
HT308B1-S1H5Fc2U1Z1Bs1,HT308B1,HT308B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT308B1/H5/HT308B1-S1H5Fc2U1Z1Bs1/
HT308B1-S1H4Fc2U1Z1Bs1,HT308B1,HT308B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT308B1/H4/HT308B1-S1H4Fc2U1Z1Bs1/
HT323B1-S1H1Fc2U1Z1Bs1,HT323B1,HT323B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT323B1/H1/HT323B1-S1H1Fc2U1Z1Bs1/
HT339B1-S1H3Fc2U1Z1Bs1,HT339B1,HT339B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT339B1/H3/HT339B1-S1H3Fc2U1Z1Bs1/
HT339B1-S1H3Fc2U2Bs2,HT339B1,HT339B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT339B1/H3/HT339B1-S1H3Fc2U2Bs2/
HT397B1-S1H3Fs1U1Bp1,HT397B1,HT397B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/H3/HT397B1-S1H3Fs1U1Bp1
HT397B1-S1H2Fs4U1Bp1,HT397B1,HT397B1,visium,,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/H2/HT397B1-S1H2Fs4U1Bp1
