WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
SP012Z1,SP012Z1-Fp1A2-Ux,/diskmnt/primary/CosMx/data/S21-11816A2_S21-44455/,,,,,,,TRUE,TRUE,1000,CosMx,FALSE,157013,188.5533809,cell,1000,29605332,372295675.6,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
SP012Z1,SP012Z1-Fp1A15-Ux,/diskmnt/primary/CosMx/data/Prostate_S18-11798A15_S18-18215A25_run_2023-12-02/,,,,,,,TRUE,TRUE,1000,CosMx,FALSE,56143,229.1468571,cell,1000,12864992,95334176.01,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
SP005Z1,SP005Z1-Fp1A25-Ux,/diskmnt/primary/CosMx/data/Prostate_S18-11798A15_S18-18215A25_run_2023-12-02/,,,,,,,TRUE,TRUE,1000,CosMx,FALSE,50680,297.3847277,cell,1000,15071458,95335313.08,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S1H1Fp1,/diskmnt/primary/CosMx/data/20240827_118454_HT913Z1-S1H1Fp1_HT891Z1-S2H1Fp1_HT891Z1-S2H4Fp1/,,,,,,,TRUE,TRUE,1000,CosMx,FALSE,224609,145.045626,cell,1000,32578553,449136916.1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H1Fp1,/diskmnt/primary/CosMx/data/20240827_118454_HT913Z1-S1H1Fp1_HT891Z1-S2H1Fp1_HT891Z1-S2H4Fp1/,,,,,,,TRUE,TRUE,1000,CosMx,FALSE,85930,142.7875364,cell,1000,12269733,222273670.1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H4Fp1,/diskmnt/primary/CosMx/data/20240827_118454_HT913Z1-S1H1Fp1_HT891Z1-S2H1Fp1_HT891Z1-S2H4Fp1/,,,,,,,TRUE,TRUE,1000,CosMx,FALSE,97573,150.8174495,cell,1000,14715711,272969754.1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3FP1Us1,/diskmnt/primary/CosMx/data/20241112_118452_HT891Z1-S2H3FP1Us1__HT891Z1-S2H3FP1Us2/,,,,,,,TRUE,TRUE,6175,CosMx,FALSE,186751,554.2265476,cell,6175,103502362,282324958.6,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3FP1Us2,/diskmnt/primary/CosMx/data/20241112_118452_HT891Z1-S2H3FP1Us1__HT891Z1-S2H3FP1Us2/,,,,,,,TRUE,TRUE,6175,CosMx,FALSE,176266,540.0658834,cell,6175,95195253,258154424.4,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
HT938Z1,HT938Z1-S1H1FP1U1,/diskmnt/primary/CosMx/data/20241205_116645_HT938Z1-S1H1FP1U1__HT997Z1-S1H1FP1U1__HT935Z1-S1H1FP1U2/,,,,,,,TRUE,TRUE,6175,CosMx,FALSE,430743,572.3206436,cell,6175,246523111,523638404.4,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
HT997Z1,HT997Z1-S1H1FP1U1,/diskmnt/primary/CosMx/data/20241205_116645_HT938Z1-S1H1FP1U1__HT997Z1-S1H1FP1U1__HT935Z1-S1H1FP1U2/,,,,,,,TRUE,TRUE,6175,CosMx,FALSE,213258,364.536491,cell,6175,77740323,348775040.1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
