WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
HT206B1,HT206B1-S1Fc1U1Z1B1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-U1_ST_Bn1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,3651,70989,spot,24519,259182143,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,182550000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT206B1,HT206B1-S1Fc1U2Z1B1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U2Z1B1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,3949,56600,spot,24691,225512473,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,197450000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT206B1,HT206B1-S1Fc1U3Z1B1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U3Z1B1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,4311,60291,spot,24818,259913487,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,215550000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT206B1,HT206B1-S1Fc1U4Z1B1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U4Z1B1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,4132,73132,spot,24596,302179376,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,206600000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT206B1,HT206B1-S1Fc1U5Z1B1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT206B1/H1/HT206B1-S1Fc1U5Z1B1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,4274,70313,spot,24818,300515923,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,213700000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT297B1,HT297B1-S1H1Fc2U1Z1Bs1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT297B1/H1/HT297B1-S1H1Fc2U1Z1Bs1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,3253,77391,spot,23919,251754486,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,162650000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT308B1,HT308B1-S1H1Fc2U1Z1Bs1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT308B1/H1/HT308B1-S1H1Fc2U1Z1Bs1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,4839,63098,spot,20687,305333381,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,241950000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT308B1,HT308B1-S1H5Fc2U1Z1Bs1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT308B1/H5/HT308B1-S1H5Fc2U1Z1Bs1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,4568,91239,spot,22090,416781069,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,228400000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT308B1,HT308B1-S1H4Fc2U1Z1Bs1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT308B1/H4/HT308B1-S1H4Fc2U1Z1Bs1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,4867,51103,spot,21789,248718729,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,243350000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT323B1,HT323B1-S1H1Fc2U1Z1Bs1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT323B1/H1/HT323B1-S1H1Fc2U1Z1Bs1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,2542,139400,spot,20962,354354823,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,127100000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT339B1,HT339B1-S1H3Fc2U1Z1Bs1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT339B1/H3/HT339B1-S1H3Fc2U1Z1Bs1/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,3596,151105,spot,21421,543373264,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,179800000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT339B1,HT339B1-S1H3Fc2U2Bs2,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT339B1/H3/HT339B1-S1H3Fc2U2Bs2/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,3488,90949,spot,24375,317228560,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,174400000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
