WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
SP003Z1,SP003Z1-Fp1Us1_1,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0011120__S18-15142Fp1Us1_1__20230830__154053,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,720423,61,cell,477,54930083,123642078.0,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP017Z1,SP017Z1-Fp1B27Us1_17,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010784__S18-9906-B27Us1_17Q1__20230912__220421,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,266083,61,cell,377,19504112,66022924.9,TRUE,,,,,Targeted,,,,DAPI,nucleus,,,,,,,,,,,,,,,
SP017Z1,SP017Z1-Fp1B27Us1_2,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010784__S18-9906-B27Us1_2Q1__20230912__220421,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,270707,58,cell,377,19304832,63395171.4,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP017Z1,SP017Z1-Fp1B27Us1_24,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010787__S18-9906-B27Us1_24Q1__20230912__220421,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,281950,65,cell,377,22188732,66498968.0,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP017Z1,SP017Z1-Fp1B27Us1_9,/diskmnt/primary/Xenium/data/20230912__220334__24002/output-XETG00122__0010787__S18-9906-B27Us1_9Q1__20230912__220421,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,290905,57,cell,377,20342277,71745012.1,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP003Z1,SP003Z1-Fp1A15Us1_1,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010817__S18-11798-A15Us1_1__20231003__221400,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,468487,92,cell,477,50198490,86569763.1,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP004Z1,SP004Z1-Fp1B17Us2_1,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010587__S18-15142-B17Us2_1__20231003__221400,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,503108,101,cell,477,61495870,93912135.9,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP005Z1,SP005Z1-Fp1A25Us1_1,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010817__S18-18215-A25Us1_1__20231003__221400,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,463271,111,cell,477,60530851,90938943.1,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP006Z1,SP006Z1-Fp1C8Us1_1,/diskmnt/primary/Xenium/data//20231003__221302__24005/output-XETG00122__0010587__S18-5591-C8Us1_1__20231003__221400,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,331790,111,cell,477,45354641,107086219.4,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP008Z1,SP008Z1-Fp1F15U1,/diskmnt/primary/Xenium/data/20231026__203216__24008/output-XETG00122__0011002__S18-9251-F15U1__20231026__203324,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,587191,134,cell,477,96544964,127104070.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
