WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
HT413C1,HT413C1-Th1K2A1Us1_7,/diskmnt/primary/Xenium/data/AndrewH_20240219/output-XETG00063__0009763__HT413C1-Th1K2A1Us1_7__20240216__213528.tar.gz,HTA206_12_D14,HTA206_12_B6,output-XETG00063__0009763__HT413C1-Th1K2A1Us1_7__20240216__213528.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,106532,47,cell,477,7690953,22857546.3,TRUE,,,,,Targeted,PCA,Graph-Based,17,DAPI,nucleus,106532,,,,,,,,,AndrewH_20240219,,,,,In situ
HT413C1,HT413C1-Th1K4A1Us1_25,/diskmnt/primary/Xenium/data/20240116__200025__24019/output-XETG00122__0010378__HT413C1-Th1K4A1Us1_25__20240116__200059.tar.gz,HTA206_12_D15,HTA206_12_B7,output-XETG00122__0010378__HT413C1-Th1K4A1Us1_25__20240116__200059.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,92739,91,cell,477,10273695,15834226,TRUE,,,,,Targeted,PCA,Graph-Based,19,DAPI,nucleus,92739,,,,,,,,,20240116__200025__24019,,,,,In situ
HT413C1,HT413C1-Th1K4A1Us1_36,/diskmnt/primary/Xenium/data/20240116__200025__24019/output-XETG00122__0010378__HT413C1-Th1K4A1Us1_36__20240116__200059.tar.gz,HTA206_12_D16,HTA206_12_B8,output-XETG00122__0010378__HT413C1-Th1K4A1Us1_36__20240116__200059.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,86246,104,cell,477,10997052,14950538.5,TRUE,,,,,Targeted,PCA,Graph-Based,24,DAPI,nucleus,86246,,,,,,,,,20240116__200025__24019,,,,,In situ
HT413C1,HT413C1-Th1K4A1Us1_9,/diskmnt/primary/Xenium/data/20240116__200025__24019/output-XETG00122__0010378__HT413C1-Th1K4A1Us1_9__20240116__200059.tar.gz,HTA206_12_D17,HTA206_12_B9,output-XETG00122__0010378__HT413C1-Th1K4A1Us1_9__20240116__200059.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,98535,94,cell,477,11245022,16707382.7,TRUE,,,,,Targeted,PCA,Graph-Based,20,DAPI,nucleus,98535,,,,,,,,,20240116__200025__24019,,,,,In situ
CM394C1,CM394C1-C1-Th1Fp1U1,/diskmnt/primary/Xenium/data/20240329__172043__20240329_pairedmCRC-CRC_prostate/output-XETG00122__0022749__S13-31378-C1U1__20240329__172116.tar.gz,HTA206_3_D2,HTA206_3_B2,output-XETG00122__0022749__S13-31378-C1U1__20240329__172116.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,295358,130,cell,477,46679508,60795728.7,TRUE,,,,,Targeted,PCA,Graph-Based,25,DAPI,nucleus,295358,,,,,,,,,20240329__172043__20240329_pairedmCRC-CRC_prostate,,,,,In situ
CM819C1,CM819C1-B2-Th2Fp1U1,/diskmnt/primary/Xenium/data/20240329__172043__20240329_pairedmCRC-CRC_prostate/output-XETG00122__0022750__S16-44514-B2U1__20240329__172116.tar.gz,HTA206_6_D2,HTA206_6_B2,output-XETG00122__0022750__S16-44514-B2U1__20240329__172116.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,389128,118,cell,477,60451622,63464831.6,TRUE,,,,,Targeted,PCA,Graph-Based,28,DAPI,nucleus,389128,,,,,,,,,20240329__172043__20240329_pairedmCRC-CRC_prostate,,,,,In situ
HT254C1,HT254C1-M1K1L1-L4U1,/diskmnt/primary/Xenium/data/20240508__202036__20240508_SenNet_Liver_mCRC/output-XETG00122__0022990__HT254C1-M1K1L1-L4U1__20240508__202131.tar.gz,HTA206_7_D8,HTA206_7_B2,output-XETG00122__0022990__HT254C1-M1K1L1-L4U1__20240508__202131.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,195740,205,cell,477,56631754,51192384.2,TRUE,,,,,Targeted,PCA,Graph-Based,25,Xenium Multi-Tissue Stain,whole cell,195740,,,,,,,,,20240508__202036__20240508_SenNet_Liver_mCRC,,,,,In situ
HT307C1,HT307C1-Th3K1A1U1,/diskmnt/primary/Xenium/data/20240508__202036__20240508_SenNet_Liver_mCRC/output-XETG00122__0022990__HT307C1-Th3K1A1U1__20240508__202130.tar.gz,HTA206_9_D1,HTA206_9_B1,output-XETG00122__0022990__HT307C1-Th3K1A1U1__20240508__202130.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,173087,245,cell,477,60045544,46852755.6,TRUE,,,,,Targeted,PCA,Graph-Based,27,Xenium Multi-Tissue Stain,whole cell,173087,,,,,,,,,20240508__202036__20240508_SenNet_Liver_mCRC,,,,,In situ
HT342C1,HT342C1-M2A1U1,/diskmnt/primary/Xenium/data/20240508__202036__20240508_SenNet_Liver_mCRC/output-XETG00122__0022990__HT342C1-M2A1U1__20240508__202131.tar.gz,HTA206_10_D8,HTA206_10_B2,output-XETG00122__0022990__HT342C1-M2A1U1__20240508__202131.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,172288,94,cell,477,28109770,40281171.1,TRUE,,,,,Targeted,PCA,Graph-Based,32,Xenium Multi-Tissue Stain,whole cell,172288,,,,,,,,,20240508__202036__20240508_SenNet_Liver_mCRC,,,,,In situ
HT489C1,HT489C1-M1Fp1U1,/diskmnt/primary/Xenium/data/20240508__202036__20240508_SenNet_Liver_mCRC/output-XETG00122__0023019__HT489C1-M1Fp1U1__20240508__202131.tar.gz,HTA206_13_D1,HTA206_13_B1,output-XETG00122__0023019__HT489C1-M1Fp1U1__20240508__202131.tar.gz,tar.gz,v1,"morphology.ome.tif,analysis.zarr.zip,cell_boundaries.parquet,cell_feature_matrix.zarr.zip,cells.parquet,cells.zarr.zip,experiment.xenium,nucleus_boundaries.parquet,transcripts.parquet,transcripts.zarr.zip,gene_panel.json",TRUE,TRUE,477,10x Genomics Xenium,FALSE,107446,150,cell,477,24353623,27634477,TRUE,,,,,Targeted,PCA,Graph-Based,22,Xenium Multi-Tissue Stain,whole cell,107446,,,,,,,,,20240508__202036__20240508_SenNet_Liver_mCRC,,,,,In situ
